step   first_run   mean_reward_runs   std_reward_runs   percentage_opt_action
160 1 0.850212 0.224988 0.1145
161 0.941069 0.855616 0.221211 0.114
162 0.286081 0.849806 0.228326 0.115
163 1 0.851383 0.220664 0.113
164 1 0.854193 0.223219 0.1185
165 0.733085 0.855989 0.222462 0.1045
166 0.83462 0.85095 0.22394 0.1095
167 0.707999 0.853611 0.222752 0.1375
168 0.600238 0.854864 0.219935 0.1125
169 0.747215 0.858809 0.218677 0.1125
170 1 0.858034 0.21645 0.1145
171 1 0.860794 0.21352 0.126
172 1 0.854578 0.229843 0.1165
173 1 0.848576 0.223807 0.121
174 0.806238 0.850978 0.225607 0.1155
175 0.852626 0.859214 0.214438 0.1115
176 0.210578 0.853008 0.223469 0.1255
177 1 0.858075 0.221882 0.1195
178 0.553209 0.854516 0.219782 0.1125
179 0.0142521 0.844379 0.230526 0.1195
180 1 0.849704 0.224905 0.1185
181 0.454512 0.855809 0.221991 0.118
182 0.75222 0.864207 0.212345 0.114
183 1 0.856723 0.21967 0.1155
184 1 0.843954 0.228554 0.1195
185 1 0.85404 0.220837 0.122
186 1 0.847532 0.22011 0.107
187 1 0.855613 0.218522 0.121
188 0.696219 0.851362 0.222158 0.114
189 0.290353 0.853052 0.22297 0.1205
190 0.436689 0.856393 0.219827 0.114
191 1 0.848303 0.224326 0.1175
192 0.577868 0.854268 0.222604 0.119
193 0.532579 0.859176 0.220185 0.118
194 0.628681 0.85571 0.218281 0.119
195 1 0.84544 0.225864 0.1055
196 1 0.861053 0.217653 0.1175
197 0.963042 0.864476 0.217546 0.1215
198 0.695761 0.846481 0.228004 0.123
199 0.924802 0.846577 0.227441 0.1125
200 0.189947 0.851335 0.226559 0.1115
201 1 0.856815 0.221255 0.1215
202 0.17835 0.859082 0.216017 0.114
203 0.995178 0.858525 0.220481 0.1185
204 1 0.855249 0.221157 0.1275
205 0.998016 0.853923 0.222685 0.107
206 1 0.850102 0.222721 0.126
207 0.625172 0.850461 0.222787 0.108
208 1 0.86435 0.21593 0.125
209 0.437727 0.856665 0.221048 0.106
210 0.931516 0.856037 0.222385 0.1195
211 1 0.848071 0.223537 0.1115
212 0.89462 0.856512 0.221122 0.1285
213 1 0.860363 0.220656 0.12
214 1 0.849654 0.226551 0.1145
215 0.769066 0.84988 0.225135 0.113
216 0.410718 0.85335 0.220841 0.1145
217 1 0.850946 0.226768 0.112
218 0.628071 0.849247 0.225128 0.1215
219 0.604144 0.855836 0.217043 0.111
220 0.451613 0.861721 0.215933 0.1225
221 0.466353 0.850186 0.222943 0.1355
222 0.597827 0.84508 0.229 0.1155
223 0.634724 0.861081 0.216739 0.1345
224 1 0.849625 0.225936 0.1175
225 0.828791 0.855072 0.221168 0.1085
226 1 0.850018 0.225225 0.1075
227 1 0.862121 0.214654 0.122
228 0.565752 0.84752 0.222845 0.1155
229 1 0.84979 0.222929 0.102
230 1 0.851334 0.228196 0.1185
231 1 0.853864 0.222583 0.1245
232 0.555132 0.861846 0.217326 0.121
233 0.905087 0.85562 0.217315 0.1175
234 1 0.852871 0.222267 0.1285
235 1 0.848557 0.223111 0.114
236 0.604724 0.856858 0.221325 0.1255
237 1 0.859737 0.220045 0.1175
238 0.584613 0.845122 0.232468 0.106
239 1 0.854207 0.224026 0.1085
240 1 0.854924 0.216763 0.1145
241 1 0.857339 0.21996 0.1135
242 1 0.855579 0.217364 0.1195
243 0.612049 0.860957 0.216311 0.114
244 0.62038 0.849894 0.22444 0.1215
245 1 0.855107 0.224144 0.119
246 1 0.851631 0.225957 0.111
247 1 0.83803 0.237659 0.1125
248 1 0.856384 0.216317 0.1105
249 0.867733 0.849872 0.227972 0.1085
250 0.911557 0.851196 0.22317 0.128
251 1 0.851938 0.223442 0.114
252 1 0.856376 0.227048 0.1275
253 1 0.855574 0.218558 0.13
254 0.667776 0.848224 0.225487 0.1115
255 0.976531 0.852884 0.222237 0.1105
256 1 0.857908 0.21792 0.1255
257 1 0.859613 0.218595 0.126
258 1 0.856572 0.21596 0.119
259 1 0.84896 0.22348 0.1215
260 1 0.855619 0.215749 0.1195
261 0.869045 0.854982 0.21726 0.11
262 0.851222 0.85423 0.222983 0.13
263 1 0.852665 0.22227 0.1095
264 1 0.851111 0.223459 0.115
265 0.326914 0.860599 0.214173 0.117
266 1 0.851879 0.229 0.109
267 1 0.8526 0.227016 0.1215
268 0.64098 0.860454 0.215722 0.1345
269 1 0.858533 0.216397 0.1295
270 1 0.84982 0.222633 0.132
271 1 0.858138 0.219713 0.1035
272 1 0.852236 0.226452 0.1265
273 1 0.845289 0.231403 0.1165
274 1 0.849901 0.221691 0.1075
275 1 0.852536 0.225902 0.108
276 1 0.85388 0.220668 0.12
277 1 0.847888 0.227559 0.1215
278 0.737999 0.857036 0.222033 0.1225
279 1 0.852993 0.219046 0.116
280 0.826685 0.852786 0.217879 0.1095
281 0.959075 0.846329 0.230227 0.1145
282 0.873348 0.852824 0.22246 0.1085
283 0.725028 0.862024 0.210219 0.118
284 1 0.864993 0.216492 0.1255
285 0.943999 0.856349 0.219648 0.1195
286 1 0.856226 0.223405 0.1115
287 1 0.849001 0.225829 0.111
288 0.784967 0.858414 0.218417 0.124
289 1 0.849751 0.226547 0.123
290 0.609638 0.855726 0.221128 0.111
291 0.956114 0.845901 0.223725 0.115
292 1 0.848567 0.229248 0.1175
293 0.875637 0.846474 0.229614 0.122
294 0.653859 0.845422 0.224016 0.1085
295 1 0.842529 0.231381 0.111
296 1 0.854172 0.224028 0.1165
297 1 0.850755 0.221533 0.115
298 1 0.856372 0.22222 0.115
299 1 0.852319 0.228499 0.1215
300 0.91998 0.860484 0.221771 0.122
301 0.551164 0.85133 0.221015 0.1035
302 0.662801 0.851375 0.221223 0.115
303 1 0.865395 0.20599 0.115
304 1 0.845071 0.231288 0.1205
305 1 0.859893 0.217209 0.113
306 1 0.854772 0.219404 0.117
307 0.793359 0.862475 0.213418 0.114
308 1 0.844083 0.231081 0.1175
309 0.382366 0.853317 0.22217 0.107
310 0.688162 0.856536 0.2216 0.124
311 0.532151 0.851238 0.223562 0.113
312 0.606281 0.864882 0.2132 0.121
313 1 0.849088 0.222801 0.1145
314 1 0.856036 0.221664 0.1195
315 1 0.857143 0.218291 0.1145
316 0.10062 0.860168 0.215612 0.107
317 1 0.850533 0.223939 0.1215
318 0.863247 0.85896 0.215121 0.1205
319 0.491501 0.855184 0.216396 0.1175
320 0.747337 0.855797 0.221272 0.115
321 0.496902 0.850742 0.221809 0.126
322 0.380108 0.851151 0.225331 0.1225
323 0.785363 0.858247 0.215287 0.1185
324 1 0.852664 0.225255 0.108
325 0.357097 0.857655 0.213781 0.124
326 0.955718 0.857066 0.214276 0.1175
327 0.630848 0.852315 0.225803 0.117
328 1 0.852891 0.222635 0.118
329 1 0.851486 0.222547 0.1205
330 1 0.850855 0.222103 0.1265
331 1 0.85095 0.221933 0.103
332 0.95172 0.845115 0.225491 0.11
333 1 0.849115 0.224672 0.099
334 1 0.857884 0.216286 0.1095
335 1 0.859112 0.220154 0.127
336 1 0.846377 0.229032 0.125
